ID,Pass,Grade,Pass Sess 0,Grade Sess 0,Grade Sess 1,Pass Sess 1
148194,1,3,2,-1,3,1
194148,1,3,2,-1,3,1
194362,1,2,2,-1,-1,0
203010,1,1,2,-1,1,1
203928,1,2,2,-1,2,1
205391,1,3,2,-1,3,1
205909,1,2,2,-1,-1,0
208342,1,3,2,-1,3,1
213193,1,2,2,-1,2,1
213891,1,3,2,-1,3,1
215904,1,1,2,-1,1,1
216178,1,2,2,-1,2,1
216249,1,3,2,-1,-1,0
216668,1,3,2,-1,3,1
217230,0,-1,2,-1,-1,0
217970,1,3,2,-1,3,1
219502,1,2,2,-1,-1,0
223269,1,1,2,-1,1,1
224399,1,3,2,-1,3,1
224632,0,-1,2,-1,-1,0
226464,1,3,2,-1,-1,0
226761,1,3,2,-1,3,1
227564,1,2,2,-1,3,1
227689,1,3,2,-1,-1,0
227969,1,2,2,-1,-1,0
228341,0,-1,2,-1,-1,0
228534,0,-1,2,-1,-1,0
228653,1,2,2,-1,2,1
229200,1,1,2,-1,1,1
229231,1,2,2,-1,2,1
229335,1,1,2,-1,1,1
229445,1,3,2,-1,-1,0
229703,1,2,2,-1,2,1
229820,1,3,2,-1,-1,0
230964,1,3,2,-1,3,1
234095,1,1,2,-1,1,1
234139,1,2,2,-1,-1,0
234407,1,1,2,-1,1,1
234465,1,3,2,-1,3,1
234836,1,2,2,-1,-1,0
235225,1,1,2,-1,1,1
235330,1,2,2,-1,2,1
235622,1,3,2,-1,3,1
235818,1,3,2,-1,3,1
235895,1,1,2,-1,1,1
236099,1,1,2,-1,-1,0
236131,1,1,2,-1,1,1
236594,1,3,2,-1,3,1
236628,1,2,2,-1,3,1
237008,1,2,2,-1,2,1
237101,1,2,2,-1,2,1
237485,1,2,2,-1,2,1
237604,1,2,2,-1,-1,0
237646,1,2,2,-1,2,1
237723,1,2,2,-1,2,1
237741,1,2,2,-1,2,1
237778,1,1,2,-1,1,1
237966,1,3,2,-1,-1,0
237977,1,1,2,-1,1,1
238438,0,-1,2,-1,-1,0
240200,1,2,2,-1,-1,0
240480,1,3,2,-1,-1,0
240591,1,2,2,-1,2,1
244536,1,3,2,-1,3,1
244712,1,2,2,-1,2,1
244807,1,1,2,-1,3,1
245003,1,1,2,-1,1,1
245012,1,1,2,-1,1,1
245125,1,3,2,-1,3,1
245134,1,1,2,-1,1,1
245249,1,1,2,-1,3,1
245275,1,1,2,-1,1,1
245410,1,2,2,-1,2,1
245427,1,1,2,-1,1,1
245511,1,1,2,-1,1,1
245569,1,2,2,-1,-1,0
245611,1,3,2,-1,3,1
245613,1,1,2,-1,1,1
245701,1,1,2,-1,1,1
245711,1,2,2,-1,2,1
245747,1,1,2,-1,1,1
245797,1,2,2,-1,2,1
245811,1,2,2,-1,2,1
245820,1,2,2,-1,2,1
245847,1,3,2,-1,3,1
245991,1,1,2,-1,1,1
246056,1,1,2,-1,1,1
246067,1,3,2,-1,3,1
246101,1,3,2,-1,3,1
246175,1,2,2,-1,2,1
246281,1,1,2,-1,1,1
246328,1,2,2,-1,2,1
246390,1,2,2,-1,2,1
246402,1,3,2,-1,3,1
246497,1,1,2,-1,1,1
246533,1,1,2,-1,1,1
246610,1,1,2,-1,1,1
246619,1,2,2,-1,2,1
246706,1,1,2,-1,1,1
246762,1,2,2,-1,2,1
246773,1,1,2,-1,1,1
246779,1,2,2,-1,2,1
246785,1,1,2,-1,1,1
246865,1,1,2,-1,1,1
246866,1,1,2,-1,2,1
247134,1,2,2,-1,3,1
247159,1,2,2,-1,2,1
247203,1,1,2,-1,1,1
247256,1,3,2,-1,-1,0
247257,1,1,2,-1,1,1
247308,1,3,2,-1,3,1
247351,1,2,2,-1,2,1
247601,1,1,2,-1,1,1
247635,1,1,2,-1,1,1
247665,1,1,2,-1,1,1
247782,1,1,2,-1,2,1
247847,1,2,2,-1,2,1
247871,1,2,2,-1,2,1
247908,1,1,2,-1,1,1
247920,1,2,2,-1,2,1
248041,1,1,2,-1,1,1
248071,1,2,2,-1,2,1
248121,1,3,2,-1,3,1
248176,1,2,2,-1,2,1
248212,1,1,2,-1,1,1
248241,1,2,2,-1,-1,0
248247,1,3,2,-1,3,1
248253,1,2,2,-1,2,1
248291,1,2,2,-1,2,1
248335,1,1,2,-1,1,1
248376,1,3,2,-1,3,1
248423,1,3,2,-1,3,1
248450,1,3,2,-1,3,1
248497,1,3,2,-1,3,1
248547,1,3,2,-1,3,1
248566,1,1,2,-1,3,1
248594,1,1,2,-1,3,1
248615,0,-1,2,-1,-1,0
248640,1,3,2,-1,3,1
248957,1,2,2,-1,2,1
249073,1,3,2,-1,3,1
249564,1,1,2,-1,1,1
249669,1,3,2,-1,3,1
249735,1,3,2,-1,3,1
249807,1,2,2,-1,2,1
249862,1,3,2,-1,3,1
250209,0,-1,2,-1,-1,0
251096,1,3,2,-1,3,1
251718,1,3,2,-1,-1,0
252105,1,1,2,-1,1,1
252615,1,2,2,-1,2,1
253163,1,1,2,-1,1,1
253581,1,3,2,-1,3,1
253797,1,1,2,-1,1,1
260159,1,1,2,-1,1,1
