ID,Pass,Grade,Pass Sess 0,Grade Sess 0,Grade Sess 1,Pass Sess 1
246772,1,1,1,1,-1,-1
246773,1,1,2,-1,1,1
246779,1,2,2,-1,2,1
246782,1,1,1,1,-1,-1
246785,1,1,2,-1,1,1
246806,1,2,1,2,-1,-1
246826,1,3,2,-1,-1,2
246854,1,1,1,1,-1,-1
246860,1,2,2,-1,-1,2
246865,1,1,2,-1,1,1
246866,1,1,2,-1,2,1
246877,1,2,1,2,-1,-1
246939,1,1,1,1,1,1
246981,1,2,1,2,-1,-1
246992,1,1,1,1,-1,-1
247082,1,2,2,-1,-1,2
247090,1,2,1,2,-1,-1
247091,2,-1,2,-1,-1,2
247106,2,-1,2,-1,-1,2
247122,1,2,1,2,-1,-1
247125,1,3,1,3,-1,-1
247134,1,2,2,-1,3,1
247144,1,1,1,1,-1,-1
247158,1,1,1,1,-1,-1
247159,1,2,2,-1,2,1
247168,1,1,1,1,-1,-1
247189,1,1,1,1,-1,-1
247193,1,2,1,2,-1,-1
247203,1,1,2,-1,1,1
247205,1,2,1,2,-1,-1
247218,1,1,1,1,-1,-1
247236,1,1,1,1,-1,-1
247256,1,3,2,-1,-1,0
247257,1,1,2,-1,1,1
247262,1,2,2,-1,-1,2
247264,1,2,2,-1,-1,2
247275,1,1,1,1,-1,-1
247293,1,2,1,2,-1,-1
247297,1,1,1,1,-1,-1
247305,1,3,2,-1,-1,2
247308,1,3,2,-1,3,1
247312,1,1,1,1,-1,-1
247323,1,1,1,1,-1,-1
247326,1,1,1,1,-1,-1
247351,1,2,2,-1,2,1
247366,2,-1,2,-1,-1,2
247367,1,3,1,3,-1,-1
247369,1,2,1,2,-1,-1
247375,1,1,0,-1,2,1
247382,1,1,1,1,-1,-1
247401,1,1,1,1,-1,-1
247409,2,-1,2,-1,-1,2
247418,1,1,1,1,-1,-1
247436,1,1,1,1,-1,-1
247442,2,-1,2,-1,-1,2
247446,1,2,1,2,-1,-1
247452,1,3,2,-1,-1,2
247471,1,2,1,2,-1,-1
247479,1,1,1,1,-1,-1
247491,1,1,1,1,-1,-1
247494,1,1,1,1,-1,-1
247500,1,2,1,2,-1,-1
247502,1,1,1,1,-1,-1
247506,1,1,1,2,1,1
247513,2,-1,2,-1,-1,2
247520,1,2,1,2,-1,-1
247528,1,1,1,1,-1,-1
247532,1,1,1,1,-1,-1
247533,2,-1,2,-1,-1,2
247536,1,1,1,1,-1,-1
247573,1,1,1,1,-1,-1
247586,1,2,1,2,-1,-1
247601,1,1,2,-1,1,1
247629,1,2,1,2,-1,-1
247635,1,1,2,-1,1,1
247649,1,2,1,2,-1,-1
247653,1,1,1,1,-1,-1
247664,1,3,1,3,-1,-1
247665,1,1,2,-1,1,1
247675,1,1,1,1,-1,-1
247684,1,1,1,1,-1,-1
247694,2,-1,2,-1,-1,2
247695,1,1,1,1,-1,-1
247696,2,-1,2,-1,-1,2
247710,1,1,1,1,1,1
247716,1,2,1,2,-1,-1
247719,1,2,1,2,-1,-1
247745,2,-1,2,-1,-1,2
247752,1,2,1,2,-1,-1
247756,1,2,1,2,-1,-1
247777,2,-1,2,-1,-1,2
247780,1,1,1,1,-1,-1
247782,1,1,2,-1,2,1
247817,2,-1,2,-1,-1,2
247818,1,2,1,2,-1,-1
247821,1,2,1,2,-1,-1
247822,1,3,2,-1,-1,2
247823,1,1,1,1,-1,-1
247847,1,2,2,-1,2,1
247850,1,1,1,1,-1,-1
247871,1,2,2,-1,2,1
247882,2,-1,2,-1,-1,2
247884,1,2,2,-1,-1,2
247890,1,1,1,1,-1,-1
247908,1,1,2,-1,1,1
247919,1,1,1,1,-1,-1
247920,1,2,2,-1,2,1
247935,1,2,2,-1,-1,2
247938,1,2,1,2,-1,-1
247947,2,-1,2,-1,-1,2
247950,1,3,2,-1,-1,2
248008,1,2,1,2,-1,-1
248016,2,-1,2,-1,-1,2
248019,2,-1,2,-1,-1,2
248041,1,1,2,-1,1,1
248059,1,1,1,1,-1,-1
248066,1,2,2,-1,-1,2
248071,1,2,2,-1,2,1
248107,2,-1,2,-1,-1,2
248119,1,2,1,2,-1,-1
248121,1,3,2,-1,3,1
248134,1,1,1,1,-1,-1
248174,1,2,1,2,-1,-1
248176,1,2,2,-1,2,1
248212,1,1,2,-1,1,1
248223,1,1,1,2,1,1
248241,1,2,2,-1,-1,0
248247,1,3,2,-1,3,1
248253,1,2,2,-1,2,1
248291,1,2,2,-1,2,1
248308,2,-1,2,-1,-1,2
248310,1,1,1,1,-1,-1
248317,1,1,1,1,-1,-1
248322,1,2,2,-1,-1,2
248329,1,2,1,2,-1,-1
248335,1,1,2,-1,1,1
248350,1,1,1,1,-1,-1
248376,1,3,2,-1,3,1
248378,1,2,1,2,-1,-1
248380,1,2,1,2,-1,-1
248381,2,-1,2,-1,-1,2
248398,1,2,1,2,-1,-1
248403,1,1,1,1,-1,-1
248405,2,-1,2,-1,-1,2
248423,1,3,2,-1,3,1
248433,1,3,2,-1,-1,2
248450,1,3,2,-1,3,1
248451,1,2,1,2,-1,-1
248472,1,1,1,1,-1,-1
248497,1,3,2,-1,3,1
248505,2,-1,2,-1,-1,2
248547,1,3,2,-1,3,1
248566,1,1,2,-1,3,1
248570,1,2,1,2,-1,-1
248594,1,1,2,-1,3,1
248602,1,1,1,3,1,1
248615,0,-1,2,-1,-1,0
248620,1,3,1,3,-1,-1
248636,1,1,1,1,-1,-1
