ID,CommitCount#Lab1,Failed#Lab1,Passed#Lab1,Error#Lab1,Done#Lab1 ,ActiveDays#Lab1,CommitsPerDay#Lab1
229798,0.07407407407407407,1.0,0.07142857142857142,0.125,1.0,0.125,0.1111111111111111
229803,0.2222222222222222,0.125,0.5714285714285714,0.125,1.0,0.375,0.1111111111111111
229820,0.1111111111111111,0.125,0.5714285714285714,0.125,1.0,0.25,0.1111111111111111
229973,0.07407407407407407,0.25,0.5,0.125,1.0,0.125,0.1111111111111111
230003,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
230803,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
230964,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
231911,0.14814814814814814,0.125,0.5714285714285714,0.125,1.0,0.125,0.3333333333333333
233690,0.14814814814814814,0.125,0.5714285714285714,0.125,1.0,0.125,0.3333333333333333
233692,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
233715,0.14814814814814814,0.125,0.5714285714285714,0.125,1.0,0.375,0.1111111111111111
233777,0.07407407407407407,0.0,0.0,0.0,1.0,0.125,0.1111111111111111
233837,0.2962962962962963,0.375,0.4285714285714285,0.125,1.0,0.125,0.7777777777777777
233868,0.1111111111111111,0.125,0.5714285714285714,0.125,1.0,0.25,0.1111111111111111
233882,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
233894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233935,0.37037037037037035,0.125,0.5714285714285714,0.125,1.0,0.375,0.3333333333333333
233961,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
233970,0.18518518518518517,0.125,0.5714285714285714,0.125,1.0,0.375,0.1111111111111111
233979,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.125,0.1111111111111111
233996,0.1111111111111111,1.0,0.07142857142857142,0.125,1.0,0.125,0.2222222222222222
234095,0.18518518518518517,0.125,0.5714285714285714,0.125,1.0,0.25,0.2222222222222222
234112,0.25925925925925924,0.125,0.5714285714285714,0.125,1.0,0.375,0.2222222222222222
234117,0.07407407407407407,0.75,0.21428571428571427,0.125,1.0,0.125,0.1111111111111111
234128,0.07407407407407407,0.375,0.14285714285714285,0.625,1.0,0.125,0.1111111111111111
234139,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234143,0.07407407407407407,0.125,0.14285714285714285,0.875,1.0,0.125,0.1111111111111111
234192,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234228,0.07407407407407407,0.375,0.14285714285714285,0.625,1.0,0.125,0.1111111111111111
234274,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234288,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234341,0.07407407407407407,1.0,0.07142857142857142,0.125,1.0,0.125,0.1111111111111111
234362,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234407,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234445,0.1111111111111111,0.125,0.5714285714285714,0.125,1.0,0.125,0.2222222222222222
234447,0.07407407407407407,0.375,0.4285714285714285,0.125,1.0,0.125,0.1111111111111111
234451,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
234457,0.07407407407407407,0.0,0.14285714285714285,0.0,1.0,0.125,0.1111111111111111
234463,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234465,0.14814814814814814,0.25,0.3571428571428571,0.375,1.0,0.375,0.1111111111111111
234551,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234564,0.07407407407407407,1.0,0.07142857142857142,0.125,1.0,0.125,0.1111111111111111
234627,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234710,0.1111111111111111,0.125,0.5714285714285714,0.125,1.0,0.25,0.1111111111111111
234735,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234768,0.18518518518518517,0.125,0.5714285714285714,0.125,1.0,0.375,0.1111111111111111
234803,0.07407407407407407,0.375,0.4285714285714285,0.125,1.0,0.125,0.1111111111111111
234813,0.14814814814814814,0.875,0.14285714285714285,0.125,1.0,0.125,0.3333333333333333
